SPU,Class.L1,Class.L2,Class.L3
SPU_009755,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_010564,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_010565,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_011693,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_012550,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_012936,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_013071,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_013106,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_016055,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_017370,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_020166,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_021495,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_021630,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_022633,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_022634,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_022667,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_022974,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_023409,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_023469,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_026629,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_028275,Adhesion,Adhesion_ECMOther,Adhesion_ECMOther
SPU_000755,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_000922,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_000937,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_002025,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_002338,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_002467,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_003084,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_003402,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_003467,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_003874,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_004260,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_005083,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_005979,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_006005,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_006663,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_007672,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_007765,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_008842,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_009508,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_009982,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_010032,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_010116,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_010593,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_010625,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_010656,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_012324,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_012763,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_013086,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_013283,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_016157,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_017159,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_017838,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_017899,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_018043,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_018102,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_018353,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_018777,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_019007,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_019640,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_019735,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_019803,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_020096,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_020928,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_022633,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_022634,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_024278,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_026271,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_026338,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_027380,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_028184,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_028620,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_028694,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_028775,Adhesion,Adhesion_ECMProteoglycan,Adhesion_ECMProteoglycan
SPU_000433,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_001452,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_001454,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_002742,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_003730,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_004074,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_004556,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_005228,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_008299,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_008380,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_009073,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_009215,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_010840,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_011375,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_013323,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_013476,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_014606,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_015210,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_015960,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_016980,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_017039,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_019261,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_019394,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_019783,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_021086,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_023005,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_025622,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_026595,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_027133,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_027356,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_028328,Adhesion,Adhesion_ReceptorCadherin,Adhesion_ReceptorCadherin
SPU_000584,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_000672,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_000730,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_000891,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_001056,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_001276,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_001609,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_001671,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_001854,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_002187,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_002303,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_002701,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_003304,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_003929,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_004614,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_004681,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_004805,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_005039,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_005530,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_005758,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_005849,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_005892,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_006105,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_006276,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_006724,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_006950,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_007372,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_007742,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_007915,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_007916,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_008005,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_008605,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_008821,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_008926,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_009215,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_009556,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
