NW_022145594.1:1759497_1759892	22.63	35.9	13.84	25.17
NW_022145594.1:1761935_1761943	70.12	56.25	9.88	72.62
NW_022145594.1:1779117_1779951	36.12	31.94	15.59	11.01
NW_022145594.1:1791210_1792608	19.62	24.37	10.4	8.71
NW_022145594.1:1797846_1798620	29.96	32.52	19.21	24.07
NW_022145594.1:1798810_1799679	29.9	24.87	21.95	16.66
NW_022145594.1:1865677_1865752	86.73	68.37	16.21	71.51
NW_022145594.1:1868000_1868110	49.99	33.15	15.88	60.79
NW_022145594.1:1868298_1868309	89.36	36.0	25.73	81.55
NW_022145594.1:1871409_1871590	49.4	57.34	18.36	56.21
NW_022145594.1:1877204_1878052	37.37	13.72	9.91	15.02
NW_022145594.1:1888685_1888744	76.24	61.19	15.81	62.22
NW_022145594.1:1891575_1908137	19.46	21.5	11.43	17.99
NW_022145594.1:1908234_1908767	16.98	22.99	8.51	13.99
NW_022145594.1:1909524_1910431	20.45	30.43	10.27	67.22
NW_022145594.1:1922405_1922934	29.52	26.6	30.95	15.57
NW_022145594.1:1961975_1969091	23.01	20.29	8.52	27.63
NW_022145594.1:1984891_1984895	26.0	41.5	14.75	45.25
NW_022145594.1:1984926_1985623	20.25	50.67	21.69	50.22
NW_022145594.1:2048074_2048100	49.15	18.85	22.73	85.5
NW_022145594.1:2051960_2052589	64.18	41.0	30.15	87.03
NW_022145594.1:2054346_2065712	22.56	19.4	13.51	36.53
NW_022145594.1:2066133_2079533	15.41	19.32	9.88	22.66
NW_022145594.1:2098828_2100673	27.65	21.82	12.8	98.12
NW_022145594.1:2107531_2115543	9.07	15.16	5.85	29.01
NW_022145594.1:2134774_2135130	35.4	31.27	22.23	65.58
NW_022145594.1:2136965_2139916	16.07	21.14	8.88	21.25
NW_022145594.1:2151696_2152388	24.56	30.0	10.21	25.45
NW_022145594.1:2153798_2157770	15.21	33.08	8.2	13.01
NW_022145594.1:2159298_2159946	14.22	17.93	7.78	21.19
NW_022145594.1:2160020_2160060	26.5	35.83	18.28	28.77
NW_022145594.1:2181838_2182118	36.69	31.92	18.46	29.55
NW_022145594.1:2245226_2245649	17.33	34.1	19.05	12.61
NW_022145594.1:2246870_2246921	18.55	63.65	21.57	18.27
NW_022145594.1:2252146_2252297	28.81	33.36	10.66	18.75
NW_022145594.1:2468522_2469229	70.95	61.99	17.07	63.79
NW_022145594.1:2472220_2473435	15.01	18.98	6.74	24.6
NW_022145594.1:2474162_2476232	28.74	23.74	9.55	17.24
NW_022145594.1:2476956_2477096	79.57	56.96	14.29	67.21
NW_022145594.1:2481287_2481303	18.88	36.19	12.25	14.69
NW_022145594.1:2481877_2483378	23.55	23.7	10.77	27.32
NW_022145594.1:2483502_2484551	23.66	26.23	6.3	49.77
NW_022145594.1:2491229_2491587	19.62	21.97	17.26	20.13
NW_022145594.1:2492217_2492575	9.7	28.62	12.08	25.11
NW_022145594.1:2492813_2492961	14.46	21.01	13.06	18.83
NW_022145594.1:2493048_2493155	33.03	30.38	21.78	36.07
NW_022145594.1:2493181_2493339	27.39	33.91	15.65	39.37
NW_022145594.1:2495232_2495266	12.18	28.47	8.97	38.24
NW_022145594.1:2495614_2496187	37.51	38.11	21.15	49.07
NW_022145594.1:2497081_2497564	34.06	28.69	7.94	17.0
NW_022145594.1:2500347_2501142	41.62	43.72	21.49	44.0
NW_022145594.1:2503477_2506624	14.38	33.33	8.31	19.64
NW_022145594.1:2506714_2507497	13.27	44.23	6.45	36.69
NW_022145594.1:2510727_2511061	20.44	23.95	14.98	30.71
NW_022145594.1:2521064_2521269	67.88	38.63	16.56	66.52
NW_022145594.1:2529662_2530690	35.29	34.54	11.78	19.18
NW_022145594.1:2551294_2552536	17.83	21.64	9.9	18.19
NW_022145594.1:2560621_2561384	24.49	21.25	13.25	20.28
NW_022145594.1:2595121_2596719	34.11	29.73	10.43	28.16
NW_022145594.1:2598827_2600943	9.25	12.36	7.25	24.04
NW_022145594.1:2602840_2602973	32.74	56.33	13.14	55.22
NW_022145594.1:2609748_2610174	45.61	33.56	15.11	23.3
NW_022145594.1:2617781_2617925	86.76	64.13	18.62	77.39
NW_022145594.1:2618414_2618754	91.57	86.63	25.74	94.76
NW_022145594.1:2650665_2651916	22.7	21.76	11.65	13.11
NW_022145594.1:2797781_2798560	14.74	28.85	8.19	23.66
NW_022145594.1:2798685_2798763	46.74	55.51	13.29	67.04
NW_022145594.1:2808894_2809723	28.69	27.76	11.26	18.73
NW_022145594.1:2813499_2815243	23.9	41.87	12.09	25.03
NW_022145594.1:2818603_2819304	24.19	29.97	7.5	9.89
NW_022145594.1:2821626_2821935	27.45	43.81	15.91	35.5
NW_022145594.1:2825603_2825608	37.4	38.6	19.2	48.4
NW_022145594.1:2825651_2826595	29.76	37.23	16.23	44.12
NW_022145594.1:2920333_2922407	52.28	80.71	51.69	24.23
