NW_022145603.1:2715141_2746358	13.68	16.7	10.74	13.63
NW_022145603.1:11243259_11273794	35.88	49.56	22.44	14.01
NW_022145603.1:12121405_12156073	33.24	49.9	31.25	16.52
NW_022145603.1:13971116_14003002	54.72	62.67	16.51	20.43
NW_022145603.1:14030661_14041449	21.57	35.93	24.09	16.26
NW_022145603.1:15168457_15185127	43.56	62.73	22.58	23.77
NW_022145603.1:15467541_15477668	19.67	26.57	15.2	12.28
NW_022145603.1:16361880_16373135	10.02	16.42	5.71	20.35
NW_022145603.1:22861043_22871052	19.22	51.78	5.5	6.33
NW_022145603.1:22885150_22917277	21.33	53.15	6.78	21.4
NW_022145603.1:23155646_23167475	16.73	37.27	8.82	11.1
NW_022145603.1:32812686_32854179	40.65	31.97	13.01	8.79
NW_022145603.1:33165792_33204692	14.47	16.49	8.29	13.95
NW_022145604.1:14205438_14308632	17.46	19.48	8.74	9.81
NW_022145604.1:19940504_19962714	13.05	15.84	5.12	16.56
NW_022145604.1:19972190_20004844	17.74	21.38	6.36	23.94
NW_022145604.1:20004909_20017653	14.86	18.29	6.51	16.15
NW_022145604.1:29055446_29067032	33.32	30.67	15.8	18.17
NW_022145604.1:31268729_31315481	13.0	13.94	9.86	8.56
NW_022145604.1:32707103_32719981	16.29	17.16	7.0	19.47
NW_022145604.1:33147217_33157908	46.34	44.43	6.43	50.34
NW_022145605.1:5046514_5058134	7.37	22.71	8.0	7.26
NW_022145605.1:13356480_13366634	23.19	27.89	16.07	15.54
NW_022145605.1:24340787_24353057	25.77	30.23	10.41	35.17
NW_022145605.1:24627322_24642970	28.64	30.93	10.53	12.13
NW_022145605.1:38433641_38445952	14.99	21.77	7.13	23.23
NW_022145605.1:41904575_41920270	17.71	22.81	8.12	17.95
NW_022145605.1:41986221_41996286	27.74	30.98	6.48	28.99
NW_022145605.1:42050129_42066062	13.25	32.07	6.2	37.2
NW_022145606.1:205237_239276	19.17	10.52	7.11	12.71
NW_022145606.1:2913165_2928817	73.86	66.97	17.05	21.0
NW_022145606.1:3002913_3038686	32.38	43.8	24.29	11.52
NW_022145606.1:3198914_3218827	21.32	67.8	19.78	10.84
NW_022145606.1:3436857_3462657	30.19	48.71	20.41	29.23
NW_022145606.1:4636214_4672154	72.52	79.85	32.49	11.29
NW_022145606.1:5012387_5025895	10.15	9.5	5.51	9.43
NW_022145606.1:5885031_5904961	45.98	37.01	20.81	14.5
NW_022145606.1:6206676_6218800	28.32	18.82	13.07	7.74
NW_022145606.1:7079046_7129240	13.52	11.4	6.18	5.04
NW_022145606.1:8436521_8543598	17.43	25.7	17.23	10.93
NW_022145606.1:8894388_8909105	23.64	30.43	13.2	12.09
NW_022145606.1:9255991_9341565	11.96	14.52	9.89	7.51
NW_022145606.1:9601903_9624705	14.77	11.8	7.86	13.87
NW_022145606.1:9650259_9674690	22.22	23.44	9.34	7.79
NW_022145606.1:13053578_13067588	14.55	22.53	6.48	16.79
NW_022145606.1:13115920_13156638	46.39	72.34	22.7	49.01
NW_022145606.1:13211793_13223911	13.1	16.29	9.07	27.8
NW_022145606.1:13443344_13478717	23.78	22.9	10.0	8.46
NW_022145606.1:14055320_14095593	17.73	25.5	6.78	22.3
NW_022145606.1:14148492_14191325	9.62	10.54	7.67	11.96
NW_022145606.1:14249336_14271142	9.09	5.35	7.25	6.81
NW_022145606.1:15708721_15757545	14.28	16.02	6.22	21.97
NW_022145606.1:16388632_16442251	58.42	55.51	19.71	7.59
NW_022145606.1:16539401_16550710	11.19	17.29	6.12	19.21
NW_022145606.1:21284288_21297180	15.93	21.75	8.85	8.36
NW_022145606.1:22114011_22151391	9.52	17.26	5.65	43.53
NW_022145606.1:32874781_32892838	31.77	25.23	11.99	76.16
NW_022145606.1:32920499_32957417	14.2	35.01	6.49	9.94
NW_022145606.1:33012711_33024624	9.07	10.4	5.8	11.77
NW_022145606.1:40595086_40621971	38.11	32.23	8.97	32.21
NW_022145606.1:41084333_41108338	24.65	58.69	69.86	9.9
NW_022145606.1:43325838_43339694	46.96	76.28	65.95	32.58
NW_022145606.1:43618416_43640882	19.01	30.32	10.59	21.57
